,"Country, State",Lat,Long_,Incidence_Rate,Case-Fatality_Ratio,Confirmed,Deaths,Recovered,Active,Country
585,Suriname,3.9193,-56.0278,31.87677495678736,1.60427807486631,187,3,9,175,Suriname
586,"Sweden, Blekinge",56.2784,15.017999999999999,214.9042015964312,2.0408163265306123,343,7,0,336,Sweden
587,"Sweden, Dalarna",61.0917,14.6664,476.4451358840975,11.005830903790088,1372,151,0,1221,Sweden
588,"Sweden, Gavleborg",61.3012,16.1534,590.1552637256335,6.9575471698113205,1696,118,0,1578,Sweden
589,"Sweden, Gotland",57.4684,18.4867,177.59608618436485,5.660377358490566,106,6,0,100,Sweden
590,"Sweden, Halland",56.8967,12.8034,305.52826435982837,5.882352941176472,1020,60,0,960,Sweden
591,"Sweden, Jamtland Harjedalen",63.1712,14.9592,658.9710266799175,4.524361948955916,862,39,0,823,Sweden
592,"Sweden, Jonkoping",57.3708,14.3439,587.7353898113031,7.1127749181095,2137,152,0,1985,Sweden
593,"Sweden, Kalmar",57.235,16.1849,186.19166741360627,8.971553610503284,457,41,0,416,Sweden
594,"Sweden, Kronoberg",56.7183,14.4115,483.94542088360987,8.615384615384615,975,84,0,891,Sweden
595,"Sweden, Norrbotten",66.8309,20.3992,227.91521553981917,9.824561403508772,570,56,0,514,Sweden
596,"Sweden, Orebro",59.535,15.0066,681.4192680566264,6.884930187770824,2077,143,0,1934,Sweden
597,"Sweden, Ostergotland",58.3454,15.5198,519.4470402474785,8.643507030603805,2418,209,0,2209,Sweden
598,"Sweden, Skane",55.9903,13.5958,159.52655884955078,9.326660600545953,2198,205,0,1993,Sweden
599,"Sweden, Sormland",59.0336,16.7519,567.3186798413659,13.803317535545025,1688,233,0,1455,Sweden
600,"Sweden, Stockholm",59.6025,18.1384,659.3380705158975,13.94117271741211,15673,2185,0,13488,Sweden
601,"Sweden, Uppsala",60.0092,17.2715,625.4674717822958,8.0,2400,192,0,2208,Sweden
602,"Sweden, Varmland",59.7294,13.2354,256.00713845630884,6.77731673582296,723,49,0,674,Sweden
603,"Sweden, Vasterbotten",65.3337,16.5162,207.18638678717582,5.3285968028419175,563,30,0,533,Sweden
604,"Sweden, Vasternorrland",63.4276,17.7292,395.76599673116027,9.783728115345003,971,95,0,876,Sweden
605,"Sweden, Vastmanland",59.6714,16.2159,610.1252514999366,9.03149138443256,1683,152,0,1531,Sweden
606,"Sweden, Vastra Gotaland",58.2528,13.0596,565.0447510575758,6.63453650533224,9752,647,0,9105,Sweden
607,Switzerland,46.8182,8.2275,358.91820990828245,6.238933779737952,31063,1938,28800,325,Switzerland
608,Syria,34.802075,38.99681500000001,0.9371076754432704,3.6585365853658534,164,6,68,90,Syria
609,Taiwan*,23.7,121.0,1.8600335267894164,1.580135440180587,443,7,431,5,Taiwan*
610,Tajikistan,38.861034,71.276093,51.39635142522648,0.999592003263974,4902,49,3158,1695,Tajikistan
